12;255.00;Estimé;189.00;Estimé;133.00;Estimé;192.00;Estimé;192.00;Estimé;156.00;Estimé;173.00;Estimé;139.00;Estimé;186.00;Estimé;200.00;Estimé;170.00;Estimé;210.00;Estimé;
13;334.00;Estimé;237.00;Estimé;142.00;Estimé;187.00;Estimé;203.00;Estimé;173.00;Estimé;162.00;Estimé;131.00;Estimé;177.00;Estimé;182.00;Estimé;173.00;Estimé;204.00;Estimé;
14;308.00;Estimé;265.00;Estimé;149.00;Estimé;163.00;Estimé;213.00;Estimé;199.00;Estimé;156.00;Estimé;132.00;Estimé;178.00;Estimé;177.00;Estimé;180.00;Estimé;216.00;Estimé;
15;284.00;Estimé;220.00;Estimé;132.00;Estimé;195.00;Estimé;213.00;Estimé;204.00;Estimé;158.00;Estimé;133.00;Estimé;184.00;Estimé;176.00;Estimé;171.00;Estimé;219.00;Estimé;
16;329.00;Estimé;209.00;Estimé;122.00;Estimé;186.00;Estimé;216.00;Estimé;210.00;Estimé;148.00;Estimé;127.00;Estimé;185.00;Estimé;176.00;Estimé;159.00;Estimé;199.00;Estimé;
17;398.00;Estimé;196.00;Estimé;157.00;Estimé;182.00;Estimé;196.00;Estimé;192.00;Estimé;158.00;Estimé;123.00;Estimé;177.00;Estimé;170.00;Estimé;172.00;Estimé;192.00;Estimé;
18;481.00;Estimé;190.00;Estimé;175.00;Estimé;189.00;Estimé;135.00;Estimé;163.00;Estimé;195.00;Estimé;120.00;Estimé;183.00;Estimé;153.00;Estimé;165.00;Estimé;203.00;Estimé;
19;456.00;Estimé;183.00;Estimé;189.00;Estimé;168.00;Estimé;160.00;Estimé;152.00;Estimé;247.00;Estimé;120.00;Estimé;197.00;Estimé;149.00;Estimé;170.00;Estimé;222.00;Estimé;
20;464.00;Estimé;197.00;Estimé;225.00;Estimé;153.00;Estimé;201.00;Estimé;146.00;Estimé;216.00;Estimé;123.00;Estimé;189.00;Estimé;147.00;Estimé;192.00;Estimé;243.00;Estimé;
21;453.00;Estimé;185.00;Estimé;233.00;Estimé;169.00;Estimé;178.00;Estimé;148.00;Estimé;180.00;Estimé;131.00;Estimé;186.00;Estimé;152.00;Estimé;202.00;Estimé;248.00;Estimé;
22;469.00;Estimé;160.00;Estimé;231.00;Estimé;152.00;Estimé;179.00;Estimé;153.00;Estimé;168.00;Estimé;131.00;Estimé;182.00;Estimé;166.00;Estimé;177.00;Estimé;303.00;Estimé;
23;418.00;Estimé;152.00;Estimé;211.00;Estimé;161.00;Estimé;185.00;Estimé;156.00;Estimé;179.00;Estimé;125.00;Estimé;211.00;Estimé;182.00;Estimé;175.00;Estimé;312.00;Estimé;
24;417.00;Estimé;206.00;Estimé;200.00;Estimé;216.00;Estimé;174.00;Estimé;161.00;Estimé;185.00;Estimé;137.00;Estimé;246.00;Estimé;176.00;Estimé;246.00;Estimé;381.00;Estimé;
25;383.00;Estimé;201.00;Estimé;184.00;Estimé;215.00;Estimé;155.00;Estimé;157.00;Estimé;177.00;Estimé;134.00;Estimé;203.00;Estimé;130.00;Estimé;192.00;Estimé;333.00;Estimé;
26;364.00;Estimé;205.00;Estimé;162.00;Estimé;166.00;Estimé;130.00;Estimé;168.00;Estimé;178.00;Estimé;131.00;Estimé;198.00;Estimé;131.00;Estimé;192.00;Estimé;335.00;Estimé;
27;366.00;Estimé;217.00;Estimé;186.00;Estimé;201.00;Estimé;124.00;Estimé;155.00;Estimé;178.00;Estimé;131.00;Estimé;192.00;Estimé;110.00;Estimé;206.00;Estimé;278.00;Estimé;
28;372.00;Estimé;207.00;Estimé;185.00;Estimé;224.00;Estimé;130.00;Estimé;154.00;Estimé;159.00;Estimé;132.00;Estimé;199.00;Estimé;98.50;Estimé;212.00;Estimé;235.00;Estimé;
29;343.00;Estimé;;;146.00;Estimé;219.00;Estimé;154.00;Estimé;231.00;Estimé;146.00;Estimé;133.00;Estimé;192.00;Estimé;110.00;Estimé;175.00;Estimé;132.00;Estimé;
30;358.00;Estimé;;;128.00;Estimé;199.00;Estimé;175.00;Estimé;236.00;Estimé;146.00;Estimé;127.00;Estimé;185.00;Estimé;126.00;Estimé;177.00;Estimé;150.00;Estimé;
31;320.00;Estimé;;;119.00;Estimé;;;173.00;Estimé;;;146.00;Estimé;129.00;Estimé;;;143.00;Estimé;;;188.00;Estimé;
Procédure : QJM - Année : 1950

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1950;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;211.00;211.00;#;;
F;478.00;478.00;#;;
M;330.00;330.00;#;;
A;238.00;238.00;#;;
M;253.00;253.00;#;;
J;137.00;137.00;#;;
J;152.00;152.00;#;;
A;152.00;152.00;#;;
S;166.00;166.00;#;;
O;183.00;183.00;#;;
N;251.00;251.00;#;;
D;566.00;566.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1950
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);211.00;478.00;330.00;238.00;253.00;137.00;152.00;152.00;166.00;183.00;251.00;566.00;259.00;
;Débit moyen spécifique (l/s/km2);4.83;10.90;7.54;5.44;5.78;3.12;3.46;3.48;3.79;4.18;5.73;12.90;5.91;
;Lame d'eau (mm);12.90;26.40;20.20;14.10;15.50;8.10;9.30;9.30;9.80;11.20;14.90;34.60;186.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);211.00;478.00;330.00;238.00;253.00;137.00;152.00;152.00;166.00;183.00;251.00;566.00;259.00;
;Débit moyen spécifique (l/s/km2);4.83;10.90;7.54;5.44;5.78;3.12;3.46;3.48;3.79;4.18;5.73;12.90;5.91;
;Lame d'eau (mm);12.90;26.40;20.20;14.10;15.50;8.10;9.30;9.30;9.80;11.20;14.90;34.60;186.00;
;
Maximum instantané;Débit (m3/s);319.00;692.00;600.00;474.00;470.00;238.00;238.00;195.00;319.00;238.00;465.00;738.00;738.00;
;Date;09/01/1950 07:00;19/02/1950 07:00;01/03/1950 00:01;28/04/1950 07:00;02/05/1950 07:00;01/06/1950 07:00;05/07/1950 07:00;01/08/1950 07:00;03/09/1950 07:00;16/10/1950 07:00;20/11/1950 07:00;14/12/1950 07:00;14/12/1950 07:00;
;Hauteur (cm);125.00;223.00;195.00;157.00;156.00;115.00;115.00;108.00;125.00;115.00;155.00;237.00;237.00;
;Date;09/01/1950 07:00;19/02/1950 07:00;01/03/1950 00:01;28/04/1950 07:00;02/05/1950 07:00;01/06/1950 07:00;05/07/1950 07:00;01/08/1950 07:00;03/09/1950 07:00;16/10/1950 07:00;20/11/1950 07:00;14/12/1950 07:00;14/12/1950 07:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;175.00;Estimé;141.00;Estimé;586.00;;184.00;Estimé;466.00;Estimé;232.00;Estimé;153.00;Estimé;189.00;Estimé;217.00;Estimé;157.00;Estimé;187.00;Estimé;349.00;Estimé;
2;199.00;Estimé;145.00;Estimé;551.00;;167.00;Estimé;468.00;Estimé;211.00;Estimé;161.00;Estimé;179.00;Estimé;290.00;Estimé;165.00;Estimé;183.00;Estimé;365.00;Estimé;
3;184.00;Estimé;145.00;Estimé;536.00;;172.00;Estimé;465.00;Estimé;173.00;Estimé;138.00;Estimé;175.00;Estimé;271.00;Estimé;154.00;Estimé;194.00;Estimé;447.00;Estimé;
4;139.00;Estimé;141.00;Estimé;547.00;;167.00;Estimé;464.00;Estimé;186.00;Estimé;173.00;Estimé;146.00;Estimé;167.00;Estimé;154.00;Estimé;181.00;Estimé;566.00;;
5;129.00;Estimé;149.00;Estimé;545.00;;159.00;Estimé;455.00;Estimé;171.00;Estimé;212.00;Estimé;130.00;Estimé;178.00;Estimé;156.00;Estimé;188.00;Estimé;678.00;;
6;171.00;Estimé;192.00;Estimé;536.00;;192.00;Estimé;434.00;Estimé;156.00;Estimé;156.00;Estimé;152.00;Estimé;160.00;Estimé;156.00;Estimé;186.00;Estimé;647.00;;
7;278.00;Estimé;212.00;Estimé;479.00;Estimé;177.00;Estimé;413.00;Estimé;175.00;Estimé;149.00;Estimé;153.00;Estimé;171.00;Estimé;173.00;Estimé;180.00;Estimé;640.00;;
8;294.00;Estimé;274.00;Estimé;428.00;Estimé;178.00;Estimé;395.00;Estimé;120.00;Estimé;135.00;Estimé;150.00;Estimé;153.00;Estimé;205.00;Estimé;190.00;Estimé;621.00;;
9;310.00;Estimé;404.00;Estimé;456.00;Estimé;187.00;Estimé;367.00;Estimé;104.00;Estimé;132.00;Estimé;143.00;Estimé;141.00;Estimé;218.00;Estimé;199.00;Estimé;580.00;;
10;283.00;Estimé;450.00;Estimé;422.00;Estimé;191.00;Estimé;237.00;Estimé;102.00;Estimé;163.00;Estimé;147.00;Estimé;147.00;Estimé;190.00;Estimé;220.00;Estimé;595.00;;
11;275.00;Estimé;620.00;;368.00;Estimé;169.00;Estimé;195.00;Estimé;114.00;Estimé;199.00;Estimé;151.00;Estimé;170.00;Estimé;157.00;Estimé;236.00;Estimé;624.00;;
12;286.00;Estimé;647.00;;365.00;Estimé;167.00;Estimé;267.00;Estimé;153.00;Estimé;192.00;Estimé;159.00;Estimé;208.00;Estimé;158.00;Estimé;220.00;Estimé;667.00;;
13;282.00;Estimé;674.00;;334.00;Estimé;148.00;Estimé;243.00;Estimé;140.00;Estimé;154.00;Estimé;165.00;Estimé;163.00;Estimé;153.00;Estimé;208.00;Estimé;680.00;;
14;266.00;Estimé;652.00;;234.00;Estimé;171.00;Estimé;232.00;Estimé;130.00;Estimé;125.00;Estimé;165.00;Estimé;156.00;Estimé;184.00;Estimé;190.00;Estimé;712.00;;
15;246.00;Estimé;656.00;;222.00;Estimé;238.00;Estimé;152.00;Estimé;121.00;Estimé;135.00;Estimé;150.00;Estimé;197.00;Estimé;218.00;Estimé;263.00;Estimé;653.00;;
16;236.00;Estimé;636.00;;218.00;Estimé;235.00;Estimé;112.00;Estimé;117.00;Estimé;178.00;Estimé;139.00;Estimé;149.00;Estimé;215.00;Estimé;346.00;Estimé;649.00;;
17;252.00;Estimé;623.00;;325.00;Estimé;229.00;Estimé;153.00;Estimé;127.00;Estimé;189.00;Estimé;142.00;Estimé;137.00;Estimé;159.00;Estimé;283.00;Estimé;655.00;;
18;215.00;Estimé;679.00;;281.00;Estimé;235.00;Estimé;143.00;Estimé;128.00;Estimé;168.00;Estimé;149.00;Estimé;132.00;Estimé;158.00;Estimé;280.00;Estimé;656.00;;
19;229.00;Estimé;682.00;;255.00;Estimé;236.00;Estimé;144.00;Estimé;135.00;Estimé;141.00;Estimé;141.00;Estimé;134.00;Estimé;150.00;Estimé;340.00;Estimé;643.00;;
20;274.00;Estimé;644.00;;244.00;Estimé;238.00;Estimé;152.00;Estimé;108.00;Estimé;128.00;Estimé;147.00;Estimé;127.00;Estimé;172.00;Estimé;433.00;Estimé;630.00;;
21;248.00;Estimé;601.00;;213.00;Estimé;227.00;Estimé;171.00;Estimé;110.00;Estimé;134.00;Estimé;155.00;Estimé;117.00;Estimé;202.00;Estimé;374.00;Estimé;635.00;;
22;221.00;Estimé;573.00;;199.00;Estimé;285.00;Estimé;186.00;Estimé;116.00;Estimé;124.00;Estimé;162.00;Estimé;133.00;Estimé;210.00;Estimé;359.00;Estimé;634.00;;
23;184.00;Estimé;589.00;;234.00;Estimé;236.00;Estimé;178.00;Estimé;117.00;Estimé;127.00;Estimé;157.00;Estimé;168.00;Estimé;201.00;Estimé;233.00;Estimé;598.00;;
24;160.00;Estimé;570.00;;263.00;Estimé;231.00;Estimé;217.00;Estimé;117.00;Estimé;135.00;Estimé;152.00;Estimé;120.00;Estimé;204.00;Estimé;224.00;Estimé;547.00;;
25;143.00;Estimé;552.00;;244.00;Estimé;227.00;Estimé;224.00;Estimé;122.00;Estimé;128.00;Estimé;149.00;Estimé;146.00;Estimé;213.00;Estimé;215.00;Estimé;535.00;;
26;134.00;Estimé;559.00;;219.00;Estimé;306.00;Estimé;178.00;Estimé;124.00;Estimé;137.00;Estimé;144.00;Estimé;174.00;Estimé;210.00;Estimé;189.00;Estimé;493.00;Estimé;
27;142.00;Estimé;580.00;;210.00;Estimé;413.00;Estimé;144.00;Estimé;122.00;Estimé;158.00;Estimé;141.00;Estimé;158.00;Estimé;195.00;Estimé;202.00;Estimé;441.00;Estimé;
28;142.00;Estimé;608.00;;173.00;Estimé;466.00;Estimé;133.00;Estimé;134.00;Estimé;139.00;Estimé;145.00;Estimé;160.00;Estimé;184.00;Estimé;334.00;Estimé;404.00;Estimé;
29;147.00;Estimé;;;131.00;Estimé;459.00;Estimé;129.00;Estimé;119.00;Estimé;133.00;Estimé;145.00;Estimé;174.00;Estimé;200.00;Estimé;324.00;Estimé;420.00;Estimé;
30;160.00;Estimé;;;202.00;Estimé;465.00;Estimé;140.00;Estimé;115.00;Estimé;129.00;Estimé;143.00;Estimé;154.00;Estimé;204.00;Estimé;373.00;Estimé;404.00;Estimé;
31;150.00;Estimé;;;215.00;Estimé;;;189.00;Estimé;;;173.00;Estimé;157.00;Estimé;;;207.00;Estimé;;;395.00;Estimé;
Procédure : QJM - Année : 1951

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1951;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;626.00;626.00;#;;
F;556.00;556.00;#;;
M;532.00;532.00;#;;
A;644.00;644.00;#;;
M;216.00;216.00;#;;
J;478.00;478.00;#;;
J;370.00;370.00;#;;
A;137.00;137.00;#;;
S;141.00;141.00;#;;
O;127.00;127.00;#;;
N;271.00;271.00;#;;
D;274.00;274.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1951
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);626.00;556.00;532.00;644.00;216.00;478.00;370.00;137.00;141.00;127.00;271.00;274.00;363.00;
;Débit moyen spécifique (l/s/km2);14.30;12.70;12.20;14.70;4.94;10.90;8.44;3.12;3.22;2.91;6.18;6.26;8.28;
;Lame d'eau (mm);38.30;30.70;32.50;38.10;13.20;28.30;22.60;8.40;8.30;7.80;16.00;16.80;261.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);626.00;556.00;532.00;644.00;216.00;478.00;370.00;137.00;141.00;127.00;271.00;274.00;363.00;
;Débit moyen spécifique (l/s/km2);14.30;12.70;12.20;14.70;4.94;10.90;8.44;3.12;3.22;2.91;6.18;6.26;8.28;
;Lame d'eau (mm);38.30;30.70;32.50;38.10;13.20;28.30;22.60;8.40;8.30;7.80;16.00;16.80;261.00;
;
Maximum instantané;Débit (m3/s);764.00;670.00;682.00;837.00;365.00;712.00;718.00;238.00;201.00;176.00;530.00;494.00;837.00;
;Date;21/01/1951 07:00;23/02/1951 07:00;30/03/1951 07:00;13/04/1951 07:00;02/05/1951 07:00;29/06/1951 07:00;01/07/1951 07:00;30/08/1951 07:00;17/09/1951 07:00;06/10/1951 07:00;25/11/1951 07:00;02/12/1951 07:00;13/04/1951 07:00;
;Hauteur (cm);245.00;216.00;220.00;271.00;133.00;229.00;231.00;115.00;109.00;105.00;173.00;162.00;271.00;
;Date;21/01/1951 07:00;23/02/1951 07:00;30/03/1951 07:00;13/04/1951 07:00;02/05/1951 07:00;29/06/1951 07:00;01/07/1951 07:00;30/08/1951 07:00;17/09/1951 07:00;06/10/1951 07:00;25/11/1951 07:00;02/12/1951 07:00;13/04/1951 07:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;376.00;Estimé;611.00;;627.00;;681.00;;355.00;Estimé;184.00;Estimé;715.00;;123.00;Estimé;111.00;Estimé;166.00;Estimé;106.00;Estimé;470.00;Estimé;
2;350.00;Estimé;580.00;;606.00;;707.00;;359.00;Estimé;241.00;Estimé;699.00;;151.00;Estimé;122.00;Estimé;156.00;Estimé;109.00;Estimé;489.00;Estimé;
3;421.00;Estimé;564.00;;587.00;;702.00;;338.00;Estimé;413.00;Estimé;649.00;;156.00;Estimé;139.00;Estimé;161.00;Estimé;122.00;Estimé;461.00;Estimé;
4;559.00;;544.00;;558.00;;714.00;;314.00;Estimé;459.00;Estimé;604.00;;161.00;Estimé;114.00;Estimé;148.00;Estimé;111.00;Estimé;414.00;Estimé;
5;579.00;;530.00;;544.00;;720.00;;296.00;Estimé;496.00;Estimé;573.00;;165.00;Estimé;116.00;Estimé;141.00;Estimé;110.00;Estimé;383.00;Estimé;
6;584.00;;511.00;;510.00;Estimé;706.00;;282.00;Estimé;499.00;;532.00;;180.00;Estimé;113.00;Estimé;172.00;Estimé;102.00;Estimé;341.00;Estimé;
7;552.00;;491.00;Estimé;450.00;Estimé;692.00;;223.00;Estimé;491.00;Estimé;490.00;Estimé;140.00;Estimé;109.00;Estimé;169.00;Estimé;102.00;Estimé;261.00;Estimé;
8;522.00;;472.00;Estimé;469.00;Estimé;680.00;;171.00;Estimé;422.00;Estimé;484.00;Estimé;148.00;Estimé;111.00;Estimé;168.00;Estimé;106.00;Estimé;284.00;Estimé;
9;529.00;;430.00;Estimé;498.00;;689.00;;214.00;Estimé;350.00;Estimé;503.00;;164.00;Estimé;116.00;Estimé;152.00;Estimé;104.00;Estimé;288.00;Estimé;
10;538.00;;386.00;Estimé;473.00;Estimé;744.00;;219.00;Estimé;412.00;Estimé;504.00;;124.00;Estimé;128.00;Estimé;109.00;Estimé;122.00;Estimé;313.00;Estimé;
11;566.00;;357.00;Estimé;431.00;Estimé;819.00;;203.00;Estimé;459.00;Estimé;504.00;;137.00;Estimé;121.00;Estimé;109.00;Estimé;216.00;Estimé;357.00;Estimé;
12;575.00;;470.00;Estimé;409.00;Estimé;833.00;;202.00;Estimé;420.00;Estimé;503.00;;142.00;Estimé;114.00;Estimé;106.00;Estimé;258.00;Estimé;354.00;Estimé;
13;616.00;;573.00;;400.00;Estimé;832.00;;185.00;Estimé;391.00;Estimé;494.00;Estimé;147.00;Estimé;113.00;Estimé;105.00;Estimé;343.00;Estimé;320.00;Estimé;
14;633.00;;591.00;;379.00;Estimé;800.00;;166.00;Estimé;397.00;Estimé;469.00;Estimé;133.00;Estimé;117.00;Estimé;115.00;Estimé;292.00;Estimé;243.00;Estimé;
15;627.00;;555.00;;420.00;Estimé;753.00;;146.00;Estimé;408.00;Estimé;439.00;Estimé;134.00;Estimé;140.00;Estimé;125.00;Estimé;273.00;Estimé;215.00;Estimé;
16;637.00;;540.00;;432.00;Estimé;745.00;;130.00;Estimé;458.00;Estimé;428.00;Estimé;126.00;Estimé;172.00;Estimé;129.00;Estimé;229.00;Estimé;250.00;Estimé;
17;646.00;;523.00;;443.00;Estimé;704.00;;158.00;Estimé;496.00;Estimé;405.00;Estimé;119.00;Estimé;198.00;Estimé;124.00;Estimé;231.00;Estimé;223.00;Estimé;
18;650.00;;517.00;;488.00;Estimé;669.00;;190.00;Estimé;453.00;Estimé;378.00;Estimé;144.00;Estimé;181.00;Estimé;118.00;Estimé;167.00;Estimé;149.00;Estimé;
19;659.00;;558.00;;528.00;;645.00;;156.00;Estimé;372.00;Estimé;303.00;Estimé;155.00;Estimé;142.00;Estimé;110.00;Estimé;142.00;Estimé;147.00;Estimé;
20;686.00;;565.00;;556.00;;610.00;;167.00;Estimé;512.00;Estimé;268.00;Estimé;122.00;Estimé;134.00;Estimé;126.00;Estimé;174.00;Estimé;150.00;Estimé;
21;758.00;;641.00;;625.00;;567.00;;199.00;Estimé;502.00;;179.00;Estimé;114.00;Estimé;162.00;Estimé;152.00;Estimé;296.00;Estimé;146.00;Estimé;
22;760.00;;655.00;;607.00;;590.00;;212.00;Estimé;493.00;;153.00;Estimé;117.00;Estimé;164.00;Estimé;139.00;Estimé;465.00;Estimé;132.00;Estimé;
23;759.00;;666.00;;590.00;;591.00;;203.00;Estimé;499.00;;151.00;Estimé;116.00;Estimé;161.00;Estimé;116.00;Estimé;473.00;Estimé;148.00;Estimé;
24;756.00;;661.00;;602.00;;553.00;;218.00;Estimé;509.00;;149.00;Estimé;109.00;Estimé;153.00;Estimé;106.00;Estimé;448.00;Estimé;142.00;Estimé;
25;751.00;;660.00;;586.00;;504.00;Estimé;202.00;Estimé;559.00;;133.00;Estimé;115.00;Estimé;149.00;Estimé;97.00;Estimé;521.00;;148.00;Estimé;
26;752.00;;650.00;;574.00;;448.00;Estimé;218.00;Estimé;662.00;;131.00;Estimé;124.00;Estimé;143.00;Estimé;102.00;Estimé;516.00;;187.00;Estimé;
27;755.00;;638.00;;568.00;;443.00;Estimé;256.00;Estimé;681.00;;111.00;Estimé;120.00;Estimé;158.00;Estimé;106.00;Estimé;523.00;;294.00;Estimé;
28;744.00;;630.00;;583.00;;431.00;Estimé;205.00;Estimé;705.00;;129.00;Estimé;111.00;Estimé;175.00;Estimé;104.00;Estimé;502.00;;250.00;Estimé;
29;718.00;;;;630.00;;371.00;Estimé;177.00;Estimé;705.00;;114.00;Estimé;146.00;Estimé;176.00;Estimé;110.00;Estimé;488.00;Estimé;352.00;Estimé;
30;688.00;;;;671.00;;387.00;Estimé;179.00;Estimé;695.00;;122.00;Estimé;188.00;Estimé;175.00;Estimé;104.00;Estimé;472.00;Estimé;305.00;Estimé;
31;651.00;;;;655.00;;;;163.00;Estimé;;;140.00;Estimé;110.00;Estimé;;;107.00;Estimé;;;285.00;Estimé;
Procédure : QJM - Année : 1952

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1952;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;779.00;779.00;#;;
F;949.00;949.00; ;;
M;603.00;603.00;#;;
A;708.00;708.00;#;;
M;162.00;162.00;#;;
J;152.00;152.00;#;;
J;144.00;144.00;#;;
A;153.00;153.00;#;;
S;166.00;166.00;#;;
O;229.00;229.00;#;;
N;517.00;517.00;#;;
D;1030.00;1030.00; ;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1952
Ecoulement mensuel;Validité;Estimé;;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;;
;Débit moyen (m3/s);779.00;949.00;603.00;708.00;162.00;152.00;144.00;153.00;166.00;229.00;517.00;1030.00;464.00;
;Débit moyen spécifique (l/s/km2);17.80;21.70;13.80;16.20;3.71;3.48;3.28;3.49;3.78;5.22;11.80;23.40;10.60;
;Lame d'eau (mm);47.60;54.30;36.90;41.90;9.90;9.00;8.80;9.30;9.80;14.00;30.60;62.80;335.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);779.00;949.00;603.00;708.00;162.00;152.00;144.00;153.00;166.00;229.00;517.00;1030.00;464.00;
;Débit moyen spécifique (l/s/km2);17.80;21.70;13.80;16.20;3.71;3.48;3.28;3.49;3.78;5.22;11.80;23.40;10.60;
;Lame d'eau (mm);47.60;54.30;36.90;41.90;9.90;9.00;8.80;9.30;9.80;14.00;30.60;62.80;335.00;
;
Maximum instantané;Débit (m3/s);1040.00;1130.00;1060.00;1110.00;354.00;225.00;176.00;238.00;238.00;386.00;964.00;1320.00;1320.00;
;Date;23/01/1952 07:00;17/02/1952 07:00;31/03/1952 23:59;05/04/1952 07:00;26/05/1952 07:00;27/06/1952 07:00;14/07/1952 07:00;14/08/1952 07:00;14/09/1952 07:00;27/10/1952 07:00;30/11/1952 17:00;31/12/1952 07:00;31/12/1952 07:00;
;Hauteur (cm);349.00;387.00;357.00;379.00;131.00;113.00;105.00;115.00;115.00;137.00;316.00;459.00;459.00;
;Date;23/01/1952 07:00;17/02/1952 07:00;31/03/1952 23:59;05/04/1952 07:00;26/05/1952 07:00;27/06/1952 07:00;14/07/1952 07:00;14/08/1952 07:00;14/09/1952 07:00;27/10/1952 07:00;30/11/1952 17:00;31/12/1952 07:00;31/12/1952 07:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;383.00;Estimé;738.00;;657.00;;1080.00;;207.00;Estimé;127.00;Estimé;149.00;Estimé;168.00;Estimé;151.00;Estimé;155.00;Estimé;308.00;Estimé;979.00;;
2;462.00;Estimé;862.00;;607.00;;1090.00;;212.00;Estimé;141.00;Estimé;139.00;Estimé;179.00;Estimé;159.00;Estimé;181.00;Estimé;270.00;Estimé;993.00;;
3;479.00;Estimé;912.00;;596.00;;1100.00;;191.00;Estimé;153.00;Estimé;137.00;Estimé;182.00;Estimé;175.00;Estimé;200.00;Estimé;348.00;Estimé;1000.00;;
4;549.00;;931.00;;585.00;;1110.00;;177.00;Estimé;149.00;Estimé;133.00;Estimé;162.00;Estimé;170.00;Estimé;196.00;Estimé;382.00;Estimé;1020.00;;
5;566.00;;936.00;;558.00;;1110.00;;170.00;Estimé;141.00;Estimé;133.00;Estimé;153.00;Estimé;154.00;Estimé;179.00;Estimé;404.00;Estimé;1020.00;;
6;635.00;;911.00;;558.00;;1100.00;;162.00;Estimé;149.00;Estimé;123.00;Estimé;157.00;Estimé;149.00;Estimé;177.00;Estimé;404.00;Estimé;960.00;;
7;654.00;;897.00;;554.00;;1090.00;;223.00;Estimé;172.00;Estimé;132.00;Estimé;171.00;Estimé;147.00;Estimé;208.00;Estimé;409.00;Estimé;904.00;;
8;660.00;;886.00;;539.00;;1070.00;;316.00;Estimé;181.00;Estimé;123.00;Estimé;173.00;Estimé;158.00;Estimé;204.00;Estimé;434.00;Estimé;877.00;;
9;653.00;;832.00;;562.00;;1040.00;;233.00;Estimé;137.00;Estimé;138.00;Estimé;159.00;Estimé;137.00;Estimé;211.00;Estimé;456.00;Estimé;861.00;;
10;635.00;;870.00;;570.00;;1000.00;;177.00;Estimé;131.00;Estimé;139.00;Estimé;146.00;Estimé;166.00;Estimé;204.00;Estimé;464.00;Estimé;820.00;;
11;660.00;;918.00;;555.00;;942.00;;157.00;Estimé;147.00;Estimé;123.00;Estimé;145.00;Estimé;156.00;Estimé;197.00;Estimé;474.00;Estimé;773.00;;
12;772.00;;971.00;;548.00;;867.00;;148.00;Estimé;145.00;Estimé;116.00;Estimé;143.00;Estimé;175.00;Estimé;207.00;Estimé;470.00;Estimé;741.00;;
13;894.00;;1020.00;;540.00;;807.00;;116.00;Estimé;149.00;Estimé;156.00;Estimé;166.00;Estimé;192.00;Estimé;204.00;Estimé;459.00;Estimé;741.00;;
